page_group_name,date,type,has_lex,total,ratio
7Day News သတင်းစုံ,2020-09-14,Link,0,24,0
7Day News သတင်းစုံ,2020-09-15,Link,0,276,0
7Day News သတင်းစုံ,2020-09-15,Photo,0,213,0
7Day News သတင်းစုံ,2020-09-16,Link,0,569,0
7Day News သတင်းစုံ,2020-09-16,Photo,0,21,0
Lashio News,2020-09-14,Link,0,18,0
Lashio News,2020-09-14,Photo,0,104,0
Lashio News,2020-09-15,Link,0,423,0
Lashio News,2020-09-15,Photo,0,89,0
Lashio News,2020-09-16,Link,0,119,0
Lashio News,2020-09-16,Photo,0,345,0
Lashio News,2020-09-16,Status,0,109,0
MYANMAR မြန်မာသတင်းစုံ,2020-09-15,Native Video,42,1254,0.033492822966507
MYANMAR မြန်မာသတင်းစုံ,2020-09-16,Native Video,1,183,0.005464480874317
Myanmar Covid-19 Community,2020-09-14,Link,0,7,0
Myanmar Covid-19 Community,2020-09-14,Photo,0,14,0
Myanmar Covid-19 Community,2020-09-15,Link,0,3,0
Myanmar Covid-19 Community,2020-09-15,Photo,0,243,0
Myanmar Covid-19 Community,2020-09-16,Photo,0,49,0
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-14,Photo,0,133,0
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-14,Status,3,197,0.015228426395939
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-15,Native Video,2,49,0.040816326530612
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-15,Photo,3,584,0.00513698630137
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-15,Status,1,164,0.00609756097561
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-16,Link,0,72,0
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-16,Native Video,45,607,0.074135090609555
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-16,Photo,3,800,0.00375
NLDထောက်ခံ အမေစုချစ်သူများ (သီးသန့်),2020-09-16,Status,2,407,0.004914004914005
ကမ္ဘာ့ သတင်း၊ မြန်မာ့ သတင်း မျှဝေရာ,2020-09-14,Link,0,16,0
ကမ္ဘာ့ သတင်း၊ မြန်မာ့ သတင်း မျှဝေရာ,2020-09-15,Link,0,6,0
ကမ္ဘာ့ သတင်း၊ မြန်မာ့ သတင်း မျှဝေရာ,2020-09-15,Photo,0,9,0
ကမ္ဘာ့ သတင်း၊ မြန်မာ့ သတင်း မျှဝေရာ,2020-09-16,Link,0,2,0
ကျိုက်လတ်မှုခင်းသတင်းပုံရိပ်,2020-09-14,Status,0,5,0
ကျိုက်လတ်မှုခင်းသတင်းပုံရိပ်,2020-09-15,Status,0,2,0
ကျိုက်လတ်မှုခင်းသတင်းပုံရိပ်,2020-09-16,Status,0,72,0
ကျောက်ပန်းတောင်းဟစ်တိုင်,2020-09-16,Native Video,0,33,0
ငါတို့ချစ်တဲ့(မော်လမြိုင်),2020-09-15,Status,0,46,0
စာရင်းပေးထားရန်,2020-09-14,Photo,0,940,0
စာရင်းပေးထားရန်,2020-09-15,Photo,1,2715,0.00036832412523
စာရင်းပေးထားရန်,2020-09-16,Photo,1,550,0.001818181818182
စာရင်းပေးထားရန်,2020-09-16,Status,1,1386,0.000721500721501
တာမွေမြို့နယ် ပြည်သူ့ကွန်ရက်,2020-09-14,Status,0,182,0
တာမွေမြို့နယ် ပြည်သူ့ကွန်ရက်,2020-09-15,Status,0,290,0
တာမွေမြို့နယ် ပြည်သူ့ကွန်ရက်,2020-09-16,Link,0,183,0
တာမွေမြို့နယ် ပြည်သူ့ကွန်ရက်,2020-09-16,Native Video,0,294,0
တာမွေမြို့နယ် ပြည်သူ့ကွန်ရက်,2020-09-16,Status,0,218,0
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-14,Photo,3,31,0.096774193548387
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-14,Status,0,52,0
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-15,Native Video,0,5,0
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-15,Photo,0,86,0
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-15,Status,0,9,0
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-16,Link,3,113,0.026548672566372
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-16,Native Video,0,8,0
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-16,Photo,0,24,0
တိုက်​ပွဲဝင်​ခွပ်ဒေါင်း(​သွေးနီတဲ့အ​မေစုသား/သမီး များသာ),2020-09-16,Status,0,3,0
တောင်ကြီး မီဒီယာများ စုစည်းရာ,2020-09-14,Status,0,51,0
တောင်ကြီး မီဒီယာများ စုစည်းရာ,2020-09-15,Status,0,4,0
တောင်ကြီး မီဒီယာများ စုစည်းရာ,2020-09-16,Status,0,3,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-14,Link,0,6,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-14,Native Video,0,16,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-14,Photo,0,379,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-15,Native Video,0,13,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-15,Photo,0,85,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-16,Link,0,1,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-16,Native Video,0,27,0
တောင်​ကြီးသားများစု​ဝေးရာ(new group),2020-09-16,Photo,1,400,0.0025
တံတားဦး လူထုအသံလှိုင်း ( ၂ ),2020-09-14,Photo,0,19,0
တံတားဦး လူထုအသံလှိုင်း ( ၂ ),2020-09-15,Photo,0,10,0
တံတားဦး လူထုအသံလှိုင်း ( ၂ ),2020-09-16,Photo,0,1,0
ထားဝယ်​မြို့သတင်းစုံ,2020-09-15,Link,0,28,0
ထားဝယ်​မြို့သတင်းစုံ,2020-09-15,Native Video,1,76,0.013157894736842
ထားဝယ်​မြို့သတင်းစုံ,2020-09-16,Link,0,10,0
ထားဝယ်​မြို့သတင်းစုံ,2020-09-16,Native Video,0,13,0
ထူးထူးခြားခြား သတင်းထူးများ,2020-09-16,Photo,0,6,0
ထူးထူးခြားခြားသတင်းအစုံ,2020-09-14,Link,0,6,0
ထူးထူးခြားခြားသတင်းအစုံ,2020-09-15,Link,0,1,0
ထူးထူးခြားခြားသတင်းအစုံ,2020-09-15,Native Video,0,25,0
ထူးထူးခြားခြားသတင်းအစုံ,2020-09-16,Link,0,1,0
ထူးထူးခြားခြားသတင်းအစုံ,2020-09-16,Native Video,1,49,0.020408163265306
ထူးထူးခြားခြားသတင်းအစုံ,2020-09-16,Photo,0,77,0
နမ့်ခမ်း  သတင်းပုံရိပ်များ,2020-09-14,Link,0,75,0
နမ့်ခမ်း  သတင်းပုံရိပ်များ,2020-09-15,Link,0,21,0
နမ့်ခမ်း  သတင်းပုံရိပ်များ,2020-09-16,Link,0,3,0
နိုင်ငံရေးသတင်းနှင့်စကားဝိုင်း,2020-09-15,Link,2,63,0.031746031746032
နိုင်ငံရေးသတင်းနှင့်စကားဝိုင်း,2020-09-16,Link,0,18,0
နေ့စဉ်သတင်းစုံ,2020-09-16,Link,0,75,0
ပခုက္ကူ   သတင်းစုံ(First Group),2020-09-14,Photo,0,75,0
ပခုက္ကူ   သတင်းစုံ(First Group),2020-09-15,Photo,0,74,0
ပခုက္ကူ   သတင်းစုံ(First Group),2020-09-16,Photo,0,3,0
ပုသိမ် သတင်းနှင့်စီးပွားရေးကြေငြာများ,2020-09-14,Photo,0,14,0
ပုသိမ် သတင်းနှင့်စီးပွားရေးကြေငြာများ,2020-09-14,Status,0,49,0
ပုသိမ် သတင်းနှင့်စီးပွားရေးကြေငြာများ,2020-09-15,Status,0,47,0
ပုသိမ် သတင်းနှင့်စီးပွားရေးကြေငြာများ,2020-09-16,Status,0,7,0
ပဲခူးဟစ်တိုင်,2020-09-15,Photo,0,13,0
ပဲခူးဟစ်တိုင်,2020-09-16,Photo,0,2,0
ပဲခူးဟစ်တိုင်,2020-09-16,Status,0,21,0
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-14,Link,0,25,0
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-14,Native Video,0,5,0
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-15,Link,0,33,0
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-15,Native Video,0,10,0
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-15,Photo,3,81,0.037037037037037
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-16,Link,1,3,0.333333333333333
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-16,Native Video,0,1,0
ပြည်မြို့သတင်းနှင့်ထူးခြားသောအဖြစ်အပျက်များ(pyay public group),2020-09-16,Photo,0,73,0
ပြည်သတင်း ( Public Group ),2020-09-15,Link,1,15,0.066666666666667
ပြည်သတင်း ( Public Group ),2020-09-16,Link,0,2,0
ဖြစ်ရပ်မှန် မှုခင်းသတင်းများ,2020-09-15,Native Video,2,246,0.008130081300813
ဖြစ်ရပ်မှန် မှုခင်းသတင်းများ,2020-09-16,Native Video,0,55,0
ဖြစ်ရပ်မှန် သတင်းများ,2020-09-16,Photo,0,381,0
ဘိုကလေးသတင်းစုံ,2020-09-14,Photo,0,207,0
ဘိုကလေးသတင်းစုံ,2020-09-15,Photo,1,32,0.03125
ဘိုကလေးသတင်းစုံ,2020-09-16,Photo,7,148,0.047297297297297
ဘုတလင်မြို့နယ်သူ/သားတို့ ဆုံဆည်းရာ,2020-09-14,Link,0,83,0
ဘုတလင်မြို့နယ်သူ/သားတို့ ဆုံဆည်းရာ,2020-09-15,Link,0,32,0
ဘုတလင်မြို့နယ်သူ/သားတို့ ဆုံဆည်းရာ,2020-09-16,Link,0,10,0
မကွေးတိုင်းဒေသကြီးဟစ်တိုင် နှင့် သတင်းစုံ®,2020-09-15,Link,0,114,0
မကွေးတိုင်းဒေသကြီးဟစ်တိုင် နှင့် သတင်းစုံ®,2020-09-16,Link,0,18,0
မန္တလာမြေမှသတင်းစုံ,2020-09-14,Status,0,7,0
မန္တလာမြေမှသတင်းစုံ,2020-09-15,Photo,0,235,0
မန္တလာမြေမှသတင်းစုံ,2020-09-15,Status,0,4,0
မန္တလာမြေမှသတင်းစုံ,2020-09-16,Photo,0,18,0
မန္တလာမြေမှသတင်းစုံ,2020-09-16,Status,0,26,0
မန္တလေး ရတနာပုံ လေးပြင်လေးရပ် သတင်းစုံ,2020-09-15,Photo,0,56,0
မန္တလေး ရတနာပုံ လေးပြင်လေးရပ် သတင်းစုံ,2020-09-16,Photo,1,89,0.01123595505618
မန္တလေး သတင်း ပုံရိပ်များ,2020-09-14,Photo,3,1130,0.002654867256637
မန္တလေး သတင်း ပုံရိပ်များ,2020-09-15,Photo,0,317,0
မန္တလေး သတင်း ပုံရိပ်များ,2020-09-16,Link,2,313,0.006389776357827
မန္တလေး သတင်း ပုံရိပ်များ,2020-09-16,Photo,1,167,0.005988023952096
မန္တလေး သတင်းစုံ,2020-09-14,Photo,2,63,0.031746031746032
မန္တလေး သတင်းစုံ,2020-09-15,Photo,0,753,0
မန္တလေး သတင်းစုံ,2020-09-16,Photo,0,374,0
မန်းလေး သတင်းများ စုစည်းရာ,2020-09-14,Photo,0,44,0
မန်းလေး သတင်းများ စုစည်းရာ,2020-09-15,Link,2,66,0.03030303030303
