page_group_name,post_url,comments,type,shares,love,wow,haha,sad,angry,likes,post_message,lex_found
💖နိုင်ငံတော်အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်၏ မျိုးဆက်သစ်များ💖,https://www.facebook.com/groups/690887914347608/permalink/2922164774553233,3091,Link,243,171,19,378,6,124,1,,
💖အမေ့သားသမီးများသီးသန့်💖,https://www.facebook.com/groups/1250425025055426/permalink/3432759446821962,2581,Photo,453,381,465,1,0,0,0,ဒေါက် ဖိ လျှောက် သံ တေးသီချင်း ဖန်တီး သူ ညီ လေး ဗိုလ် သူ ရိန် နဲ့ သီ ဆို သူ ညီမ လေး မ မိမိ လေး တို့ ကတော့ ဂျပန် မှာ နိုင်ငံသား တစ် ယောက် တာဝန်ကျေ ခဲ့ ပါ ပြီ တဲ့ ဝမ်းသာ ဂုဏ်ပြု ပါ တယ် ခင်ဗျာ ။ ဒို့ မျိုးဆက် ရဲ့ အနာဂတ် တွေ အတွက် နိုင်ငံသား တစ် ဦး အဖြစ် တာဝန် တစ် ခု ထမ်းဆောင် ခဲ့ ပါ ပြီ ။ #BoThuReinCredit,
Lashio News,https://www.facebook.com/groups/376940012432714/permalink/3207478752712145,1913,Native Video,311,494,584,11,1,5,2,,
💖အမေ့သားသမီးများသီးသန့်💖,https://www.facebook.com/groups/1250425025055426/permalink/3422487184515855,1222,Link,175,214,165,3,1,0,0,,
Myanmar Covid-19 Community,https://www.facebook.com/groups/215853089473235/permalink/339765607081982,2604,Link,120,97,393,2,0,0,0,,
အမေစုကို ချစ်ကြသူများသာ (သီးသန့်),https://www.facebook.com/groups/131667613924620/permalink/1196257814132256,3143,Link,82,375,72,1,1,0,0,,
သတင်းထူး သတင်းဦး သတင်းစုံ,https://www.facebook.com/groups/399365173799686/permalink/1096820990720764,1339,Link,353,49,23,0,0,28,0,ဦး ထွန်း လွင် ကို လွမ်း ခြင်း အထိမ်းအမှတ် ဗီဒီယို ဖိုင် လွမ်း တဲ့ သူ တွေ ရှိ ရင် Yes လို့ ရေး ခဲ့ ပါ,
ရွှေပြည်သာဟစ်တိုင်,https://www.facebook.com/groups/621362214629857/permalink/3263789237053795,1568,Link,67,130,25,2,1,0,0,,
နောင်​ချို မီဒီယာGroup,https://www.facebook.com/groups/1782051322104997/permalink/2689432984700155,2954,Photo,330,470,314,4,1,3,0,နောင် ချို ဟု ခေါ် သည် လေးစား ပါ တယ် ပရဟိတ အသင်းသား များ ခင်ဗျာ ... ရန် ကုန် မြို့ ရေအား တင်း ထား ပါစေ တ နာ မွန် လူမှု ကူညီ ရေး အသင်း ရှမ်းပြည်နယ် မြောက် ပိုင်း နောင် ချို မြိှု့ မှ အဘ ဦး နေ ဦး သာ ဦးဆောင် မှု နှင့်အတူ လူနာ တင် ယဉ် (4) စီး လူငယ် စေတနာ ဝန်ထမ်း အသင်းသား (8) ယောက် ဖြင့် ရန် ကုန် တက္ကသိုလ် အဓိပတိ ဆောင် တွင် အခြေစိုက် ပြီး လက်ရှိ ဖြစ်ပွား နေ သော Cove-19 ရောဂါ ကို ရန် ကုန် နယ်မြေ ခံ အသင်း များ နှင့် လက်တွဲ ပူးပေါင်း ကူညီ ကာကွယ် ရန် ရှမ်းပြည်နယ် မြောက် ပိုင်း နောင် ချို မြို့ မှ ထွက်ခွာ သွား ပါ ပြီ စိုင်း နော် မိန်း စေတနာ မွန် လူမှု ကူညီ ရေး အသင်း နောင် ချို မြို့ ( ရှမ်း / မြောက် )0979122203709696440199,
အမေစုကို ချစ်ကြသူများသာ (သီးသန့်),https://www.facebook.com/groups/131667613924620/permalink/1196340750790629,4380,Photo,857,534,445,2,1,0,1,"ပြည် သူ ချစ် တဲ့ အနုပညာရှင် "" ဒေါက်ဖိနပ် လျှောက် သံ "" ဖန်တီး ရှင် ဂျပန် ရောက် အ မေ့ သား ဗိုလ် သူ ရိန် အတွက် များ စွာ ဝမ်းမြောက် ဂုဏ်ယူ မိ ပါ ကြောင်း ။ Credit..",
